ID	xref	prefLabel
https://purl.brain-bican.org/ontology/pbao/PBA_294021980		subventricular zone (outer)
https://purl.brain-bican.org/ontology/pbao/PBA_294021990		inner fiber zone
https://purl.brain-bican.org/ontology/pbao/PBA_294022000		subventricular zone (inner)
https://purl.brain-bican.org/ontology/pbao/PBA_294022010		ventricular zone (outer)
https://purl.brain-bican.org/ontology/pbao/PBA_294022020		ventricular zone (inner)
https://purl.brain-bican.org/ontology/pbao/PBA_294022030		ventricular zone
https://purl.brain-bican.org/ontology/pbao/PBA_294022044		white matter
https://purl.brain-bican.org/ontology/pbao/PBA_294022158		entorhinal cortex
https://purl.brain-bican.org/ontology/pbao/PBA_3999		brain
https://purl.brain-bican.org/ontology/pbao/PBA_4000		medial frontal cortex (areas 24, 25 and 32)
https://purl.brain-bican.org/ontology/pbao/PBA_4001		basal nuclei (basal ganglia)
https://purl.brain-bican.org/ontology/pbao/PBA_4002		amygdaloid complex
https://purl.brain-bican.org/ontology/pbao/PBA_4003		hippocampal cortex (hippocampal formation)
https://purl.brain-bican.org/ontology/pbao/PBA_4004		occipital cortex
https://purl.brain-bican.org/ontology/pbao/PBA_9999		rostral cingulate cortex (areas 24 and 32)
https://purl.brain-bican.org/ontology/pbao/PBA_ENTITY		PBA entity
